fecha,anio,mes,mes_nombre,demanda_gwh,fuente
2020-01-01,2020,1,Enero,2264.85,"Informe Anual CENACE 2021, Tabla 1.6"
2020-02-01,2020,2,Febrero,2129.57,"Informe Anual CENACE 2021, Tabla 1.6"
2020-03-01,2020,3,Marzo,2105.54,"Informe Anual CENACE 2021, Tabla 1.6"
2020-04-01,2020,4,Abril,1810.2,"Informe Anual CENACE 2021, Tabla 1.6"
2020-05-01,2020,5,Mayo,1946.12,"Informe Anual CENACE 2021, Tabla 1.6"
2020-06-01,2020,6,Junio,1936.72,"Informe Anual CENACE 2021, Tabla 1.6"
2020-07-01,2020,7,Julio,1986.82,"Informe Anual CENACE 2021, Tabla 1.6"
2020-08-01,2020,8,Agosto,2002.61,"Informe Anual CENACE 2021, Tabla 1.6"
2020-09-01,2020,9,Septiembre,2033.64,"Informe Anual CENACE 2021, Tabla 1.6"
2020-10-01,2020,10,Octubre,2166.47,"Informe Anual CENACE 2021, Tabla 1.6"
2020-11-01,2020,11,Noviembre,2069.26,"Informe Anual CENACE 2021, Tabla 1.6"
2020-12-01,2020,12,Diciembre,2183.89,"Informe Anual CENACE 2021, Tabla 1.6"
2021-01-01,2021,1,Enero,2197.37,"Informe Anual CENACE 2021, Tabla 1.6"
2021-02-01,2021,2,Febrero,2059.05,"Informe Anual CENACE 2021, Tabla 1.6"
2021-03-01,2021,3,Marzo,2279.76,"Informe Anual CENACE 2021, Tabla 1.6"
2021-04-01,2021,4,Abril,2226.97,"Informe Anual CENACE 2021, Tabla 1.6"
2021-05-01,2021,5,Mayo,2197.74,"Informe Anual CENACE 2021, Tabla 1.6"
2021-06-01,2021,6,Junio,2108.99,"Informe Anual CENACE 2021, Tabla 1.6"
2021-07-01,2021,7,Julio,2164.89,"Informe Anual CENACE 2021, Tabla 1.6"
2021-08-01,2021,8,Agosto,2181.15,"Informe Anual CENACE 2021, Tabla 1.6"
2021-09-01,2021,9,Septiembre,2171.48,"Informe Anual CENACE 2021, Tabla 1.6"
2021-10-01,2021,10,Octubre,2291.04,"Informe Anual CENACE 2021, Tabla 1.6"
2021-11-01,2021,11,Noviembre,2194.62,"Informe Anual CENACE 2021, Tabla 1.6"
2021-12-01,2021,12,Diciembre,2298.42,"Informe Anual CENACE 2021, Tabla 1.6"
2022-01-01,2022,1,Enero,2309.96,"Informe Anual CENACE 2023, Tabla 1.8"
2022-02-01,2022,2,Febrero,2130.88,"Informe Anual CENACE 2023, Tabla 1.8"
2022-03-01,2022,3,Marzo,2416.38,"Informe Anual CENACE 2023, Tabla 1.8"
2022-04-01,2022,4,Abril,2385.9,"Informe Anual CENACE 2023, Tabla 1.8"
2022-05-01,2022,5,Mayo,2392.72,"Informe Anual CENACE 2023, Tabla 1.8"
2022-06-01,2022,6,Junio,2156.92,"Informe Anual CENACE 2023, Tabla 1.8"
2022-07-01,2022,7,Julio,2269.63,"Informe Anual CENACE 2023, Tabla 1.8"
2022-08-01,2022,8,Agosto,2298.02,"Informe Anual CENACE 2023, Tabla 1.8"
2022-09-01,2022,9,Septiembre,2253.38,"Informe Anual CENACE 2023, Tabla 1.8"
2022-10-01,2022,10,Octubre,2305.14,"Informe Anual CENACE 2023, Tabla 1.8"
